code ,park,inv12
DOM-AND,Andrés,746667
DOM-BAN,Baní,10903773.99
DOM-BAR,Barahona,8000000
DOM-VIS,Bella Vista,152692579.4
DOM-BON,Bonao,2674382
DOM-CIP,Caribbean Ind. Park,90022192.1
DOM-CHE,Chemtec,22727726.14
DOM-CIB,Cibernético,8287450.3
DOM-DOS,Dos Rios,96729338.25
DOM-LIM,El Limonal,5087227.7
DOM-SEI,El Seibo,350000
DOM-ESP,Esperanza,21562882
DOM-EXC,Excel Boca Chica,8000000
DOM-GLO,Global Zona Franca Industrial,187420
DOM-GUR,Gurabo,17197448.36
DOM-HAI,Hainamosa,9794817.22
DOM-HAT,HatoMayor,3501456
DOM-HAN,Hato Nuevo,18962933.17
DOM-INT,Interexport Free Zone,46400000
DOM-JAI,Jaibón,350000
DOM-ARM,La Armería,7648324.93
DOM-HIS,La Hispaniola,2828048.7
DOM-PAL,La Palma,5833873.04
DOM-ROM,La Romana I,109348909.2
DOM-RII,La Romana II,22007694.58
DOM-VEG,La Vega,41397804.18
DOM-LAS,Las Américas,342177049.4
DOM-ALC,Los Alcarrizos,23142258.73
DOM-MOC,Moca,9765436.56
DOM-MUL,Multimodal Caucedo,20435709.36
DOM-MUT,Multiparques,18250000
DOM-NAV,Navarrete,1000000
DOM-NIG,Nigua,64887479.8
DOM-PAM,Palmarejo,39204030.99
DOM-YAQ,Parque Ind. y de Servicios Yaque,7478342
DOM-SLI,Parque Tecnológico de Santiago,4546693.8
DOM-PED,Pedernales,17000000
DOM-PER,PERLAV,54986741.08
DOM-PIS,PISANO,44936043.66
DOM-PON,Pontezuela alMedio,2352350
DOM-PUE,Puerto Plata,6387900.94
DOM-SAL,Salcedo,1000000
DOM-CRI,San Cristóbal (Itabo),353293339.5
DOM-FRA,San Francisco deMacorís,588095
DOM-ISI,San Isidro,173580748.7
DOM-MAC,San Pedro de Macorís,133914998.3
DOM-S12,Santiago,300309573.2
DOM-JAN,Santiago-Jánico,15473775
DOM-TAM,Tamboril,34757363.57
DOM-ALT,Villa Altagracia,5826800
DOM-MEL,Villa Mella,7569908.06
DOM-SAG,Zona Franca Ind. SAG,3200000
DOM-ZFE,Zonas Francas Especiales,734664960.1
