id,shapeName,year,op,inv,pop,ent,tc,ntl
83,Piedra Blanca,0,0.0,0.0,22995.01758,0,0.0,0.217258199
84,Guayubín,0,0.0,0.0,46293.68359,0,0.0,0.120684283
85,Santo Domingo Este,0,5822.15,204571243.5,964836.5625,37,9546.48,21.8215132
86,Santo Domingo Norte,0,2053.33,12611386.51,579527.8125,6,3369.55,3.506017445
87,Santo Domingo Oeste,0,2800.0,1491058.868,385494.4375,1,3500.0,21.68832127
88,Villa Vásquez,0,0.0,0.0,15266.70703,0,0.0,0.255637311
89,Estebanía,0,0.0,0.0,5916.693359,0,0.0,0.094009507
90,Higüey,0,0.0,0.0,303879.3125,0,0.0,0.790168666
91,Río San Juan,0,0.0,0.0,14641.26172,0,0.0,0.094866526
92,Bisonó,0,1966.07,3905404.533,41474.04688,4,3600.0,1.953708989
93,Villa Los Almácigos,0,0.0,0.0,10492.24121,0,0.0,0.069550117
94,Peralvillo,0,0.0,0.0,21147.44531,0,0.0,0.149253465
95,Mao,0,0.0,0.0,84027.17188,0,0.0,0.597255905
96,Tamayo,0,0.0,0.0,31275.21484,0,0.0,0.179614404
97,Villa Riva,0,0.0,0.0,41734.17969,0,0.0,0.17449261
98,Esperanza,0,2125.48,22736969.9,66787.88281,5,4437.5,0.688790263
99,Guayacanes,0,0.0,0.0,17228.16211,0,0.0,1.548072881
100,Barahona,0,5077.0,38076000.0,79462.25781,2,12500.0,1.97962401
101,Bonao,0,8775.01,156874712.7,127159.5391,5,14086.58,0.658826583
102,Pepillo Salcedo,0,0.0,0.0,9402.373047,0,0.0,0.177962505
103,La Vega,0,1894.85,44183592.2,259130.6719,18,3737.21,1.200012642
104,San José De Ocoa,0,0.0,0.0,41499.11719,0,0.0,0.141650074
105,Rancho Arriba,0,0.0,0.0,9626.195313,0,0.0,0.030704671
106,Juan De Herrera,0,0.0,0.0,17295.66992,0,0.0,0.519916556
107,San Ignacio De Sabaneta,0,0.0,0.0,34846.64453,0,0.0,0.124330951
108,Villa González,0,5228.49,118008966.3,39468.64063,31,8500.36,0.958762552
109,Vallejuelo,0,0.0,0.0,12999.11133,0,0.0,0.125884041
110,Villa Isabela,0,0.0,0.0,17269.57031,0,0.0,0.098706876
111,Villa Tapia,0,0.0,0.0,24646.44922,0,0.0,0.676231461
112,Yaguate,0,0.0,0.0,41474.74219,0,0.0,1.010951728
113,Altamira,0,0.0,0.0,17608.25391,0,0.0,0.173710604
