code ,park,inv14
DOM-AND,Andrés,789922
DOM-BAN,Baní,4170565.5
DOM-BAR,Barahona,14978000
DOM-VIS,Bella Vista,283200500
DOM-BON,Bonao,3326537
DOM-CIP,Caribbean Ind. Park,81632133.9
DOM-CHE,Chemtec,10086381.8
DOM-CIB,Cibernético,14723507.1
DOM-CON,Conacado Ind. Park,18200000
DOM-DOS,Dos Ríos,208986256
DOM-LIM,El Limonal,7409162
DOM-SEI,El Seibo,500000
DOM-ESP,Esperanza,22563480
DOM-EXC,Excel Boca Chica,7930600
DOM-GLO,Global Z ona Franca Industrial,440900
DOM-GUR,Gurabo,24826481
DOM-HAI,Hainamosa,14811170.4
DOM-HAT,Hato Mayor,1201975
DOM-HAN,Hato Nuevo,19516688.6
DOM-INT,Interexport Free Zone,5700000
DOM-ARM,La Armería,2728910.8
DOM-HIS,La Hispaniola,3605100
DOM-PAL,La Palma,5393078.7
DOM-ROM,La Ramona II,22350938.8
DOM-RII,La Romana I,153641645.4
DOM-VEG,La Vega,44213754.4
DOM-LAS,Las Américas,356027384.7
DOM-ALC,Los Alcarrizos,28846815.7
DOM-RIE,Los Rieles,5600000
DOM-ROB,Los Robles,5345716.1
DOM-MOC,Moca,12577321.8
DOM-MUL,Multimodal Caucedo,20844020.9
DOM-MUT,Multiparques,18681840.1
DOM-NAV,Navarrete,2974785
DOM-NIG,Nigua,68666906.5
DOM-PAB,Palmar Abajo,ND
DOM-PAM,Palmarejo,38544393.1
DOM-KGC,Parque Ind. KG Compañía Comercial,2658123.3
DOM-YAQ,Parque Ind. y de Servicios Yaque,14000000
DOM-CDF,Parque Industrial CDF,9951283.2
DOM-SLI,Parque Tecnológico de Santiago,6167959.6
DOM-HER,Parque Z.F. Ind. Tecnológica de Herrera,1467025
DOM-PED,Pedernales,9000000
DOM-PER,PERLAV,71677360.9
DOM-PIS,PISANO,61922862.3
DOM-PUE,Puerto Plata,8553756.2
DOM-QUI,Quisqueya,200000
DOM-CRI,San Cristóbal (Itabo),457875277.8
DOM-FRA,San Francisco de Macorís,344510.7
DOM-ISI,San Isidro,267320687
DOM-MAC,San Pedro de Macorís,148635877.4
DOM-S12,Santiago,327431525
DOM-JAN,Santiago-Jánico,17778662.4
DOM-TAM,Tamboril,119205726.2
DOM-ALT,Villa Altagracia,5407289.4
DOM-MEL,Villa Mella,15926641.2
DOM-INF,ZF. Ind. y de Servicios Norte Infiesto,201930.5
DOM-SUR,Zona Franca Ind. Del Sur,34883.7
DOM-EMI,Zona Franca Ind. Emimar,4030000
DOM-SAG,Zona Franca Ind. SAG,3875000
DOM-ZFE,Zona Franca Especiales,706226438.4
