code ,park,inv15
DOM-AND,Andrés,803290
DOM-BAN,Baní,5021427.1
DOM-BAR,Barahona,14978000
DOM-VIS,Bella Vista,283200500
DOM-BON,Bonao,3198062
DOM-CIP,Caribbean Industrial Park,86613144.4
DOM-CHE,Chemtec,13252725.1
DOM-CIB,Cibernético,13991905
DOM-CON,Conacado Industrial Park,17036793.9
DOM-DOS,Dos Ríos,208986256
DOM-LIM,El Limonal,3586845.4
DOM-SEI,El Seibo,500000
DOM-ESP,Esperanza,21882449
DOM-EXC,Excel Boca Chica,8330000
DOM-GLO,Global Zona Franca Industrial,428211
DOM-GUR,Gurabo,25429550.4
DOM-HAI,Hainamosa,21419086.9
DOM-HAT,Hato Mayor,1401975
DOM-HAN,Hato Nuevo,31710575.8
DOM-TAL,Intercontinental,146216
DOM-INT,Interexport Free Zone,5700000
DOM-ARM,La Armería,5452953.6
DOM-HIP,La Herradura Industrial Park,3009858.1
DOM-HIS,La Hispaniola,4065900
DOM-PAL,La Palma,6212990.1
DOM-ROM,La Ramona II,27487893.6
DOM-RII,La Romana I,199692125.6
DOM-VEG,La Vega,49863556.7
DOM-LAS,Las Américas,333853320.5
DOM-ALC,Los Alcarrizos,27461136.4
DOM-RIE,Los Rieles,13000000
DOM-ROB,Los Robles,5276188
DOM-MOC,Moca,11770957.9
DOM-MUL,Multimodal Caucedo,10264020.9
DOM-MUT,Multiparques,18681840.1
DOM-NAV,Navarrete,2963405
DOM-NIG,Nigua,78101109.8
DOM-PAB,Palmar Abajo,N/D
DOM-PAM,Palmarejo,48741389.4
DOM-CDF,Parque Industrial CDF,12385321.3
DOM-CTQ,Parque Industrial CTQ,7972912.2
DOM-KGC,Parque Industrial KG Compañía Comercial,2691026.9
DOM-YAQ,Parque Industrial y de Servicios Yaque,14800000
DOM-SLI,Parque Tecnológico de Santiago,7697014.1
DOM-HER,Parque Z.F. Tecnológica de Herrera,3385283.6
DOM-PED,Pedernales,11829180.1
DOM-PER,PERLAV,70122135.8
DOM-PIS,PISANO,84258181.2
DOM-PUE,Puerto Plata,12873522.6
DOM-QUI,Quisqueya,225000
DOM-CRI,San Cristobal (Itabo),327128636.3
DOM-FRA,San Francisco de Marcorís,291266.4
DOM-ISI,San Isidro,209311735.1
DOM-MAC,San Pedro de Macorís,288228578.3
DOM-S12,Santiago,394255108.6
DOM-JAN,Santiago-Jánico,19810494
DOM-TAM,Tamboril,135653985.1
DOM-ALT,Villa Altagracia,5949306.9
DOM-MEL,Villa Mella,16124936.1
DOM-INF,ZF. Ind. y de Servicios Norte Infiesto,201930.5
DOM-MAI,Zona Franca Bahía de Maimón,390000
DOM-SUR,Zona Franca Industrial del Sur,61550.4
DOM-EMI,Zona Franca Industrial Emimar,4030000
DOM-SAG,Zona Franca Industrial SAG,3675420.2
DOM-JOB,Zona Franca Jobo Industrial,235000
DOM-ZFE,Zona Franca Especiales,796046472.8
